Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
106,556,106,Aug 2,ATL,,LAA,W12-5,CG,5,4,1,1,0,0,1,2,1,0,2,0,0,0,0,0,0,0,.276,.336,.505,.841,3,.35,-0.015,.10,0.00%,0.62,18.00,25.20,3B
107,557,107,Aug 4,ATL,@,CHC,W8-0,CG,5,5,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.275,.335,.508,.843,3,.42,-0.003,.10,0.00%,0.31,16.00,22.20,3B
108,558,108,Aug 5,ATL,@,CHC,L6-8,CG,5,4,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.275,.335,.506,.841,3,1.09,-0.106,.18,-0.01%,-0.80,7.00,9.20,3B
109,559,109,Aug 6,ATL,@,CHC,L4-6,CG,5,5,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,.272,.332,.500,.832,3,2.18,-0.226,.42,-0.03%,-1.71,0.00,0.00,3B
110,560,110,Aug 7,ATL,@,PIT,L6-7,CG,5,5,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.273,.333,.501,.834,3,.78,-0.026,.19,0.00%,0.31,10.00,12.20,3B
111,561,111,Aug 8,ATL,@,PIT,W8-6,CG,5,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.271,.333,.498,.831,3,1.80,-0.091,.55,-0.02%,-0.39,4.00,6.00,3B
112,562,112,Aug 9,ATL,@,PIT,W6-5,CG,5,4,1,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,.274,.334,.500,.834,3,1.53,0.093,.34,0.01%,0.22,12.00,15.70,3B
113,563,113,Aug 10,ATL,@,PIT,L5-7,CG,5,5,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.277,.337,.501,.838,3,1.20,0.090,.27,0.01%,0.91,11.00,12.50,3B
114,564,114,Aug 11,ATL,@,NYM,W7-0,CG,5,4,2,3,1,0,1,2,0,0,0,0,0,1,0,0,0,0,.281,.339,.512,.851,3,.35,0.083,.09,0.01%,1.41,26.00,34.40,3B
115,565,115,Aug 12 (1),ATL,@,NYM,W21-3,CG,6,5,2,2,0,0,1,3,1,0,1,0,0,0,0,0,0,0,.283,.341,.517,.859,3,.42,0.036,.10,0.01%,1.94,25.00,34.90,3B
116,566,116,Aug 12 (2),ATL,@,NYM,W6-0,CG,5,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.280,.340,.513,.853,3,.92,0.084,.23,0.01%,0.67,4.00,6.20,3B
117,567,117,Aug 13,ATL,@,NYM,L6-7,CG,4,4,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.280,.339,.513,.852,3,.86,-0.017,.13,0.00%,-0.29,9.00,12.40,3B
118,568,118,Aug 14,ATL,,NYY,W11-3,CG,5,5,2,2,0,0,1,1,0,0,1,0,0,0,0,1,0,0,.281,.340,.518,.858,3,.43,0.040,.08,0.01%,-0.29,19.00,24.90,3B
119,569,119,Aug 15,ATL,,NYY,W5-0,CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.279,.337,.514,.851,3,.50,-0.075,.08,-0.01%,-1.35,0.00,0.00,3B
120,570,120,Aug 16,ATL,,NYY,W2-0,CG,3,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.280,.339,.514,.853,3,.43,0.024,.05,0.00%,0.41,5.00,6.00,3B
121,571,121,Aug 18,ATL,,SFG,W4-0,CG,5,4,0,1,1,0,0,1,1,1,2,0,0,0,0,0,0,0,.280,.340,.513,.853,3,.70,0.000,.07,0.00%,-0.06,9.00,12.50,3B
