Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
79,474,115,Aug 13 (2),ATL,@,MIA,W6-2,GS-7,4,4,2,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.273,.360,.412,.772,1,.65,0.098,.46,0.04%,1.07,19.00,24.90,RF
80,475,116,Aug 14,ATL,@,MIA,W3-1,9-GF,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.273,.362,.412,.774,6,1.34,0.011,.93,0.01%,0.27,2.00,3.00,PH RF
81,476,117,Aug 15,ATL,,NYM,W13-1,GS-8,5,5,2,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,.278,.365,.424,.789,1,.46,0.125,.49,0.08%,3.07,25.00,34.90,RF
82,477,118,Aug 16,ATL,,NYM,W5-0,CG,4,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,.278,.372,.424,.796,1,.75,-0.017,.93,-0.01%,0.25,10.00,15.20,RF
83,478,119,Aug 17,ATL,,NYM,L7-9,CG,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,.275,.370,.419,.789,1,1.32,-0.124,1.84,-0.10%,-0.90,2.00,3.00,RF
84,479,120,Aug 18,ATL,,NYM,W3-2,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.272,.366,.414,.780,1,.82,-0.082,.99,-0.06%,-0.88,0.00,0.00,RF
85,480,121,Aug 19,ATL,,HOU,W6-2,CG,5,4,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.274,.369,.415,.784,1,.64,0.030,.53,0.02%,0.29,12.00,15.40,RF
86,481,122,Aug 20,ATL,,HOU,W5-4,CG(11),5,4,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,.271,.367,.410,.777,1,1.50,-0.029,1.16,-0.01%,-0.13,2.00,3.00,RF
87,482,123,Aug 21,ATL,,HOU,L4-5,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,.271,.366,.408,.773,1,.90,-0.052,.72,-0.03%,-0.35,3.00,3.00,DH
88,483,124,Aug 22,ATL,@,PIT,W2-1,CG,4,4,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.274,.367,.412,.779,1,.87,0.035,.58,0.01%,0.45,8.00,9.00,RF
89,484,125,Aug 23,ATL,@,PIT,W6-1,CG,5,5,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,.272,.365,.409,.774,1,.77,-0.039,.62,-0.02%,-0.30,5.00,6.20,RF
90,485,126,Aug 24,ATL,@,PIT,W14-2,GS-8,5,3,2,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,.273,.368,.408,.776,1,.61,-0.035,.50,-0.02%,0.58,13.00,18.90,RF
91,486,127,Aug 26,ATL,@,STL,W11-4,GS-9,6,6,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.274,.367,.407,.774,1,.61,-0.077,.53,-0.04%,0.87,10.00,13.00,RF
92,487,131 (3),Aug 31,ATL,,COL,W3-2,CG,4,4,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,.274,.366,.413,.780,1,.52,0.034,.43,0.02%,0.20,14.00,18.70,DH
93,488,132,Sep 1,ATL,,COL,W3-0,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.271,.365,.410,.775,1,.50,-0.024,.41,-0.01%,-0.37,2.00,3.00,DH
94,489,133,Sep 2,ATL,,MIA,W8-1,CG,5,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.273,.366,.413,.778,1,.46,-0.056,.35,-0.03%,-0.22,8.00,9.00,DH
95,490,134,Sep 3,ATL,,MIA,W2-1,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.271,.364,.409,.774,1,.80,-0.063,.63,-0.03%,-0.71,2.00,3.00,DH
96,491,135,Sep 4,ATL,,MIA,W7-1,CG,5,5,0,2,1,0,0,2,0,0,2,0,0,0,0,0,0,0,.273,.365,.412,.777,1,.67,0.083,.60,0.05%,2.06,12.00,16.00,DH
97,492,136,Sep 6,ATL,@,OAK,W10-9,CG,5,5,2,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,.274,.365,.414,.780,1,.98,0.053,.98,0.03%,0.08,12.00,15.40,DH
98,493,137,Sep 7,ATL,@,OAK,W7-3,CG,5,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.273,.363,.411,.775,1,.60,-0.049,.67,-0.03%,-0.42,5.00,6.50,DH
99,494,138,Sep 9,ATL,@,SEA,W6-4,CG,5,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,.272,.362,.409,.770,1,.81,0.000,.86,0.00%,-0.22,10.00,12.20,DH
100,495,139,Sep 10,ATL,@,SEA,L1-3,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.270,.358,.405,.763,1,1.07,-0.109,1.18,-0.07%,-0.82,0.00,0.00,DH
101,496,140,Sep 11,ATL,@,SEA,L7-8,CG,5,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,.267,.357,.401,.757,1,.64,0.003,.71,0.00%,-0.05,7.00,9.00,DH
102,497,141,Sep 12,ATL,@,SFG,L2-3,CG,4,4,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,.269,.358,.401,.759,1,1.33,0.105,1.35,0.06%,0.80,11.00,12.00,DH
103,498,142,Sep 13,ATL,@,SFG,W5-1,CG,5,5,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.271,.358,.404,.762,1,.55,0.048,.56,0.03%,0.95,10.00,12.20,DH
104,499,143,Sep 14,ATL,@,SFG,L1-4,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.268,.355,.400,.755,1,1.73,-0.227,2.08,-0.16%,-1.77,0.00,0.00,RF
105,500,144,Sep 16,ATL,,PHI,W7-2,CG,4,3,1,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,.269,.357,.407,.763,1,1.76,0.425,2.10,0.30%,1.14,18.00,25.20,RF
106,501,145,Sep 17,ATL,,PHI,W4-3,CG,4,4,1,2,1,0,1,4,0,0,1,0,0,0,0,0,0,0,.271,.358,.417,.775,1,.90,0.235,1.10,0.17%,2.54,25.00,35.20,RF
107,502,146,Sep 18,ATL,,PHI,W5-2,CG,4,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.271,.357,.418,.775,1,.86,-0.057,.99,-0.04%,-0.44,7.00,9.20,RF
108,503,147,Sep 19,ATL,,WSN,W5-2,CG,4,3,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,.271,.358,.420,.778,1,.69,-0.014,.83,-0.01%,-0.56,7.00,9.00,RF
109,504,148,Sep 20,ATL,,WSN,W3-2,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.269,.355,.416,.771,1,1.04,-0.108,1.27,-0.08%,-1.20,0.00,0.00,RF
110,505,149,Sep 21,ATL,,WSN,L2-3,CG,5,5,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.270,.356,.416,.771,1,1.49,-0.055,1.83,-0.04%,0.14,10.00,12.70,DH
111,506,153 (3),Sep 25,ATL,@,PHI,W8-7,8-GF(11),2,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,.272,.358,.417,.775,8,5.58,0.176,6.07,0.12%,0.75,9.00,12.70,PH RF
112,507,154,Sep 26,ATL,@,WSN,W8-0,CG,5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.269,.355,.412,.767,1,.33,-0.041,.36,-0.03%,-0.71,0.00,0.00,RF
113,508,155,Sep 27,ATL,@,WSN,W8-2,CG,5,5,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,.270,.355,.426,.781,1,.51,0.107,.65,0.08%,1.34,28.00,37.40,RF
114,509,156,Sep 28,ATL,@,WSN,L2-3,CG(10),5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.267,.352,.421,.772,1,1.94,-0.190,3.37,-0.20%,-1.17,0.00,0.00,RF
115,510,157,Sep 30,ATL,,NYM,W5-2,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.265,.349,.417,.766,1,.80,-0.062,2.04,-0.10%,-1.00,0.00,0.00,RF
116,511,158,Oct 1,ATL,,NYM,W4-2,CG,4,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.269,.352,.420,.772,1,.67,0.041,2.43,0.09%,0.41,11.00,12.20,RF
117,512,159,Oct 2,ATL,,NYM,W5-3,CG,4,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.267,.351,.417,.769,1,.92,0.021,3.77,0.05%,-0.09,4.00,6.20,RF
118,513,160,Oct 3,ATL,@,MIA,L0-4,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,.265,.348,.414,.762,1,.89,-0.030,.42,-0.01%,-0.49,0.00,0.00,RF
119,514,161,Oct 4,ATL,@,MIA,W2-1,CG,5,3,0,1,0,0,0,1,2,1,0,0,0,0,0,0,1,0,.266,.351,.413,.764,1,1.43,0.072,1.19,0.04%,0.65,14.00,18.50,RF
