Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
64,64,111,Aug 9,ATL,@,BOS,W9-7,CG(11),5,5,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.288,.324,.485,.808,9,.99,0.155,.76,0.07%,1.05,12.00,15.70,CF
65,65,112,Aug 10,ATL,@,BOS,W8-4,CG,4,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.289,.327,.483,.809,8,.48,0.025,.34,0.01%,0.05,7.00,9.20,CF
66,66,113,Aug 12,ATL,@,MIA,W4-3,CG,3,3,2,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,.294,.331,.502,.833,9,1.47,0.319,.96,0.13%,1.84,23.00,31.40,CF
67,67,114,Aug 13 (1),ATL,@,MIA,W5-2,CG,4,3,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,.294,.333,.504,.838,8,1.18,0.106,.86,0.05%,0.79,16.00,21.70,CF
68,68,115,Aug 13 (2),ATL,@,MIA,W6-2,CG,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.289,.328,.496,.824,9,.58,-0.056,.41,-0.02%,-1.05,2.00,3.20,CF
69,69,116,Aug 14,ATL,@,MIA,W3-1,CG,4,4,1,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,.293,.331,.512,.843,9,1.80,0.348,1.25,0.14%,0.83,19.00,24.70,CF
70,70,117,Aug 15,ATL,,NYM,W13-1,CG,4,4,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.292,.330,.508,.838,9,.42,-0.010,.44,-0.01%,0.22,9.00,12.90,CF
71,71,118,Aug 16,ATL,,NYM,W5-0,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.287,.325,.500,.825,8,.54,-0.046,.67,-0.04%,-0.89,0.00,0.00,CF
72,72,119,Aug 17,ATL,,NYM,L7-9,CG,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,.288,.327,.498,.825,7,.97,0.016,1.35,0.01%,0.78,12.00,15.20,CF
73,73,120,Aug 18,ATL,,NYM,W3-2,CG,3,3,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,.288,.327,.500,.827,8,1.21,0.182,1.46,0.13%,0.62,7.00,9.50,CF
