Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
93,Tuesday Jul 18,boxscore,ATL,,ARI,L,13,16,,61-32,1,up 9.5,Castro,Iglesias,Ginkel,3:05,N,41100,.46,---,
94,Wednesday Jul 19,boxscore,ATL,,ARI,L,3,5,,61-33,1,up 9.5,Nelson,Morton,Ginkel,2:26,N,41992,.54,----,
95,Thursday Jul 20,boxscore,ATL,,ARI,W,7,5,,62-33,1,up10.5,Yates,Castro,Iglesias,2:29,D,38791,.57,+,
96,Friday Jul 21,boxscore,ATL,@,MIL,W,6,4,,63-33,1,up11.5,Soroka,Peralta,Yates,2:32,N,37698,.53,++,
97,Saturday Jul 22,boxscore,ATL,@,MIL,L,3,4,,63-34,1,up11.5,Payamps,Jiménez,Williams,2:32,N,39707,.46,-,
98,Sunday Jul 23,boxscore,ATL,@,MIL,W,4,2,,64-34,1,up11.5,Hernández,Peguero,Iglesias,2:35,D,38605,.49,+,
99,Tuesday Jul 25,boxscore,ATL,@,BOS,L,1,7,,64-35,1,up11.0,Pivetta,Morton,,2:54,N,36663,.32,-,
100,Wednesday Jul 26,boxscore,ATL,@,BOS,L,3,5,,64-36,1,up10.0,Jacques,Johnson,Jansen,2:29,N,37457,.42,--,
101,Friday Jul 28,boxscore,ATL,,MIL,W,10,7,,65-36,1,up10.0,McHugh,Houser,Iglesias,2:55,N,42502,.57,+,
102,Saturday Jul 29,boxscore,ATL,,MIL,W,11,5,,66-36,1,up11.0,Elder,Teheran,,2:36,N,43276,.44,++,
103,Sunday Jul 30,boxscore,ATL,,MIL,W,8,6,,67-36,1,up11.5,Yates,Payamps,Iglesias,2:30,D,40262,.36,+++,
104,Monday Jul 31,boxscore,ATL,,LAA,L,1,4,,67-37,1,up11.0,Silseth,Morton,López,2:36,N,41173,.29,-,
105,Tuesday Aug 1,boxscore,ATL,,LAA,W,5,1,,68-37,1,up11.0,Strider,Sandoval,,2:30,N,41777,.35,+,
106,Wednesday Aug 2,boxscore,ATL,,LAA,W,12,5,,69-37,1,up12.0,Chirinos,Giolito,,2:39,D,36495,.28,++,
107,Friday Aug 4,boxscore,ATL,@,CHC,W,8,0,,70-37,1,up12.5,Fried,Hendricks,,2:09,D,36225,.25,+++,
108,Saturday Aug 5,boxscore,ATL,@,CHC,L,6,8,,70-38,1,up11.5,Fulmer,Elder,,3:10,D,40201,.17,-,
109,Sunday Aug 6,boxscore,ATL,@,CHC,L,4,6,,70-39,1,up10.5,Steele,Morton,Alzolay,2:52,D,39015,.19,--,
110,Monday Aug 7,boxscore,ATL,@,PIT,L,6,7,,70-40,1,up10.0,Mlodzinski,Strider,Bednar,2:51,N,14627,.25,---,
111,Tuesday Aug 8,boxscore,ATL,@,PIT,W,8,6,,71-40,1,up10.5,Yates,Bednar,Iglesias,2:58,N,15583,.31,+,
112,Wednesday Aug 9,boxscore,ATL,@,PIT,W,6,5,,72-40,1,up10.5,Johnson,Mlodzinski,Iglesias,3:15,N,17639,.23,++,
113,Thursday Aug 10,boxscore,ATL,@,PIT,L,5,7,,72-41,1,up 9.5,Hatch,Elder,Holderman,2:46,D,16550,.23,-,
114,Friday Aug 11,boxscore,ATL,@,NYM,W,7,0,,73-41,1,up 9.5,Morton,Megill,,2:55,N,37339,.27,+,
115,Saturday Aug 12 (1),boxscore,ATL,@,NYM,W,21,3,,74-41,1,up11.0,Winans,Reyes,,3:12,D,39859,.25,++,
116,Saturday Aug 12 (2),boxscore,ATL,@,NYM,W,6,0,,75-41,1,up11.0,Strider,Quintana,,2:53,N,30254,.25,+++,
117,Sunday Aug 13,boxscore,ATL,@,NYM,L,6,7,,75-42,1,up11.0,Senga,Chirinos,Ottavino,3:03,N,30338,.15,-,
118,Monday Aug 14,boxscore,ATL,,NYY,W,11,3,,76-42,1,up11.5,Fried,Schmidt,,2:50,N,42717,.19,+,
119,Tuesday Aug 15,boxscore,ATL,,NYY,W,5,0,,77-42,1,up12.5,Elder,Severino,,2:18,N,40454,.15,++,
120,Wednesday Aug 16,boxscore,ATL,,NYY,W,2,0,,78-42,1,up12.5,Morton,Vásquez,Iglesias,2:08,N,40743,.12,+++,
121,Friday Aug 18,boxscore,ATL,,SFG,W,4,0,,79-42,1,up13.5,Strider,Cobb,,2:32,N,40688,.10,++++,
122,Saturday Aug 19,boxscore,ATL,,SFG,W,6,5,,80-42,1,up13.5,Yates,Rogers,Iglesias,2:25,N,42744,.09,+++++,
123,Sunday Aug 20,boxscore,ATL,,SFG,L,3,4,,80-43,1,up13.5,Doval,Yates,,3:11,D,40291,.07,-,
124,Monday Aug 21,boxscore,ATL,,NYM,L,4,10,,80-44,1,up12.5,Bickford,Winans,,3:02,N,33216,.08,--,
125,Tuesday Aug 22,boxscore,ATL,,NYM,W,3,2,,81-44,1,up12.5,Elder,Megill,Iglesias,2:52,N,36841,.12,+,
126,Wednesday Aug 23,boxscore,ATL,,NYM,W,7,0,,82-44,1,up13.5,Morton,Quintana,,2:35,N,35674,.08,++,
